window_id,channel index,channel name,sample index,value (uv)
Control1129,0,Fp1,5500,3.0188011567999267e-05
Control1129,0,Fp1,5501,2.7098635865710448e-05
Control1129,0,Fp1,5502,3.226091402058105e-05
Control1129,0,Fp1,5503,3.5908272358782956e-05
Control1129,0,Fp1,5504,3.15479236248291e-05
Control1129,0,Fp1,5505,3.0459826490399168e-05
Control1129,0,Fp1,5506,3.4400621324822995e-05
Control1129,0,Fp1,5507,3.350699914556274e-05
Control1129,0,Fp1,5508,3.163720537652588e-05
Control1129,0,Fp1,5509,2.542285213585205e-05
Control1129,0,Fp1,5510,1.564630810017395e-05
Control1129,0,Fp1,5511,1.4416237244927978e-05
Control1129,0,Fp1,5512,2.2999574389163207e-05
Control1129,0,Fp1,5513,3.0896987592980956e-05
Control1129,0,Fp1,5514,3.293362063778686e-05
Control1129,0,Fp1,5515,3.135690871751709e-05
Control1129,0,Fp1,5516,2.880421892246704e-05
Control1129,0,Fp1,5517,2.82050942015625e-05
Control1129,0,Fp1,5518,2.5165080060571288e-05
Control1129,0,Fp1,5519,1.8513157425708005e-05
Control1129,0,Fp1,5520,2.074857185906372e-05
Control1129,0,Fp1,5521,3.2112915763378906e-05
Control1129,0,Fp1,5522,3.4637409595654296e-05
Control1129,0,Fp1,5523,2.5395279041296386e-05
Control1129,0,Fp1,5524,2.27466243271759e-05
Control1129,0,Fp1,5525,2.8447139599371336e-05
Control1129,0,Fp1,5526,2.682286617715454e-05
Control1129,0,Fp1,5527,2.3734411366156003e-05
Control1129,0,Fp1,5528,2.3234353984494018e-05
Control1129,0,Fp1,5529,2.0830408994439697e-05
Control1129,0,Fp1,5530,2.355336980092468e-05
Control1129,0,Fp1,5531,3.086475341759033e-05
Control1129,0,Fp1,5532,3.085088640408325e-05
Control1129,0,Fp1,5533,2.3074452685824582e-05
Control1129,0,Fp1,5534,1.9205912054919432e-05
Control1129,0,Fp1,5535,2.432156599040222e-05
Control1129,0,Fp1,5536,2.8264064026678466e-05
Control1129,0,Fp1,5537,2.6591007207922363e-05
Control1129,0,Fp1,5538,2.39419993364624e-05
Control1129,0,Fp1,5539,2.456475877703552e-05
Control1129,0,Fp1,5540,2.74331160993103e-05
Control1129,0,Fp1,5541,2.942188067840576e-05
Control1129,0,Fp1,5542,2.989662547050781e-05
Control1129,0,Fp1,5543,2.846720549276123e-05
Control1129,0,Fp1,5544,2.7721685878778073e-05
Control1129,0,Fp1,5545,2.6048775091326905e-05
Control1129,0,Fp1,5546,2.086120967885742e-05
Control1129,0,Fp1,5547,2.0459586337411497e-05
Control1129,0,Fp1,5548,2.386613011308899e-05
Control1129,0,Fp1,5549,2.5416504244433594e-05
Control1129,0,Fp1,5550,2.6087658161437987e-05
Control1129,0,Fp1,5551,2.6709799204138183e-05
Control1129,0,Fp1,5552,2.3474886915216063e-05
Control1129,0,Fp1,5553,1.8629791734887694e-05
Control1129,0,Fp1,5554,2.0767496324090574e-05
Control1129,0,Fp1,5555,2.4662157187078856e-05
Control1129,0,Fp1,5556,2.113489618614502e-05
Control1129,0,Fp1,5557,1.731570221538391e-05
Control1129,0,Fp1,5558,1.9356133564233396e-05
Control1129,0,Fp1,5559,2.6229284685375977e-05
Control1129,0,Fp1,5560,3.124528417616577e-05
Control1129,0,Fp1,5561,3.17194925267395e-05
Control1129,0,Fp1,5562,2.858079996661377e-05
Control1129,0,Fp1,5563,2.6175309726934813e-05
Control1129,0,Fp1,5564,2.7725014796484374e-05
Control1129,0,Fp1,5565,3.1471236328125e-05
Control1129,0,Fp1,5566,2.7600289160919188e-05
Control1129,0,Fp1,5567,2.2265799864419556e-05
Control1129,0,Fp1,5568,2.3279574515216063e-05
Control1129,0,Fp1,5569,2.683176216583252e-05
Control1129,0,Fp1,5570,2.037460207840271e-05
Control1129,0,Fp1,5571,1.1624668547201537e-05
Control1129,0,Fp1,5572,1.7621210136108397e-05
Control1129,0,Fp1,5573,2.7424109842095946e-05
Control1129,0,Fp1,5574,3.1316869317889405e-05
Control1129,0,Fp1,5575,2.837356068330078e-05
Control1129,0,Fp1,5576,2.338059390557556e-05
Control1129,0,Fp1,5577,2.205062720694885e-05
Control1129,0,Fp1,5578,2.3650307765322876e-05
Control1129,0,Fp1,5579,2.432193106866455e-05
Control1129,0,Fp1,5580,2.465161611104736e-05
Control1129,0,Fp1,5581,2.3370107963812256e-05
Control1129,0,Fp1,5582,2.247953009022522e-05
Control1129,0,Fp1,5583,2.456729644348755e-05
Control1129,0,Fp1,5584,2.684975679887695e-05
Control1129,0,Fp1,5585,2.8838640587200927e-05
Control1129,0,Fp1,5586,2.6628340558062744e-05
